sample, feature, aX, aY, aZ, gX, gY, gZ
1, Mean, -0.0496,0.9746,0.1052,1.2507,2.1276,-2.7504
1, Std, 0.0628,0.1466,0.2108,24.2634,41.8278,19.7275
1, RMS, 0.0800,0.9856,0.2356,24.2957,41.8819,19.9183
1, Min, -0.1667,0.6788,-0.3120,-110.6567,-93.6890,-66.1011
1, Max, 0.1398,1.2147,0.3914,85.4492,78.0029,38.9404
1, PSD, 8.0928,855.2128,125.7973,800040.2500,2252457.0000,400886.5312
2, Mean, -0.0141,0.9209,0.0711,8.8544,12.8465,1.1334
2, Std, 0.0585,0.1036,0.1827,11.9982,14.1580,15.0095
2, RMS, 0.0601,0.9267,0.1960,14.9117,19.1175,15.0522
2, Min, -0.1013,0.7542,-0.3170,-14.8926,-26.2451,-22.8271
2, Max, 0.1702,1.2598,0.3593,26.3672,39.1846,28.5645
2, PSD, 4.2900,636.5269,45.7915,210759.4531,206516.4844,248111.7031
3, Mean, -0.0817,0.9241,-0.1210,-1.4868,4.8218,17.0097
3, Std, 0.0744,0.1141,0.1238,12.3633,26.4265,16.1315
3, RMS, 0.1105,0.9311,0.1731,12.4524,26.8627,23.4426
3, Min, -0.1857,0.7531,-0.3528,-35.1563,-57.6782,-17.7002
3, Max, 0.0981,1.2323,0.1777,21.2402,42.7856,40.4053
3, PSD, 14.4338,658.4099,26.1668,82952.4297,812198.3750,990597.5000
4, Mean, 0.1730,1.0381,-0.0884,-8.1177,-11.5833,12.1098
4, Std, 0.0896,0.0983,0.2037,19.5954,22.3043,29.1598
4, RMS, 0.1948,1.0427,0.2221,21.2103,25.1328,31.5743
4, Min, -0.0419,0.8149,-0.4218,-78.8574,-55.8472,-54.0161
4, Max, 0.3982,1.2212,0.3264,26.4282,31.1279,61.2183
4, PSD, 66.0784,1066.7634,78.4367,572853.1250,1505701.1250,1432134.0000
5, Mean, 0.1520,1.0291,0.0792,-3.4304,-4.9834,-8.6141
5, Std, 0.1415,0.1353,0.1865,14.7893,23.8423,20.9828
5, RMS, 0.2076,1.0380,0.2026,15.1819,24.3575,22.6821
5, Min, -0.0868,0.7396,-0.3777,-33.1421,-60.0586,-49.0723
5, Max, 0.3883,1.2518,0.3995,29.0527,26.7944,34.3628
5, PSD, 53.9257,1120.8059,79.8083,190205.3594,617526.6250,1452184.6250
6, Mean, 0.0439,0.9199,0.0505,2.9116,18.8117,-6.7153
6, Std, 0.1518,0.1632,0.1697,11.9549,20.7483,30.9236
6, RMS, 0.1581,0.9342,0.1771,12.3043,28.0067,31.6443
6, Min, -0.1316,0.7184,-0.3298,-24.4751,-44.7998,-57.1899
6, Max, 0.4017,1.2433,0.2804,30.0293,42.4805,58.1055
6, PSD, 23.5657,639.9908,37.0665,81631.2500,720205.9375,1484064.2500
7, Mean, -0.0247,0.8954,-0.0146,-2.5382,16.2430,10.0350
7, Std, 0.0995,0.1016,0.1602,12.8202,15.2414,33.4299
7, RMS, 0.1025,0.9012,0.1608,13.0690,22.2741,34.9036
7, Min, -0.1821,0.7380,-0.2858,-26.5503,-24.4751,-69.3359
7, Max, 0.1956,1.2570,0.4031,40.4053,34.9731,65.5518
7, PSD, 22.5667,568.7819,17.2982,47498.4805,944044.4375,1270882.0000
8, Mean, 0.0443,0.9391,-0.0859,-5.2423,-1.9078,23.2697
8, Std, 0.1577,0.1464,0.1917,16.3090,45.5137,22.3009
8, RMS, 0.1638,0.9504,0.2101,17.1308,45.5537,32.2305
8, Min, -0.1715,0.7400,-0.4419,-40.8325,-100.8301,-13.9160
8, Max, 0.5164,1.2936,0.3152,32.2266,44.3726,54.4434
8, PSD, 30.8426,661.3658,77.5371,158881.1875,2538978.2500,2339167.5000
9, Mean, 0.1916,0.9711,-0.1029,-16.7351,-9.4137,23.5195
9, Std, 0.1693,0.3318,0.2124,22.6117,42.4923,33.8624
9, RMS, 0.2557,1.0262,0.2360,28.1310,43.5226,41.2290
9, Min, -0.1082,0.3776,-0.3632,-149.1089,-80.8105,-42.7246
9, Max, 1.1222,3.9995,0.5105,53.1616,62.3779,64.6973
9, PSD, 106.0493,1097.2737,118.4695,768469.0625,4263191.5000,4080801.0000
10, Mean, 0.3549,0.7528,-0.1499,-7.4358,25.2652,18.1718
10, Std, 0.1069,0.6366,0.6408,29.0416,75.6773,81.3118
10, RMS, 0.3706,0.9859,0.6581,29.9785,79.7834,83.3176
10, Min, 0.1417,-0.2070,-0.9865,-60.1196,-127.5635,-114.5630
10, Max, 0.5574,1.7676,0.9181,40.2832,119.6289,142.4561
10, PSD, 213.1351,2891.9990,806.6270,2636252.2500,10384191.0000,11872758.0000
11, Mean, 0.4821,1.0917,0.0080,-16.5844,-4.2872,-3.9759
11, Std, 0.2389,1.1992,1.3144,45.9296,114.1188,101.7080
11, RMS, 0.5380,1.6216,1.3144,48.8320,114.1993,101.7857
11, Min, 0.0380,-1.0525,-1.8795,-114.0137,-182.8003,-151.9775
11, Max, 0.9362,2.5709,2.1992,82.4585,167.2974,170.9595
11, PSD, 159.0701,3186.9211,3681.0186,3047234.0000,27147958.0000,22958694.0000
12, Mean, 0.1840,0.9377,-0.0329,-10.9630,6.8102,6.8860
12, Std, 0.1256,0.3493,0.3950,23.7982,52.4836,56.1319
12, RMS, 0.2228,1.0007,0.3964,26.2019,52.9236,56.5527
12, Min, -0.0161,0.3864,-0.6129,-59.7534,-85.7544,-78.6133
12, Max, 0.3840,1.4027,0.5098,22.7661,88.6841,89.4775
12, PSD, 122.6956,1903.4476,377.8312,2107868.0000,5750271.5000,7087735.5000
13, Mean, 0.2639,0.9055,0.0253,-7.1869,13.5908,0.6218
13, Std, 0.1431,0.3973,0.5022,29.0821,80.1263,64.4088
13, RMS, 0.3002,0.9889,0.5028,29.9570,81.2707,64.4118
13, Min, 0.0184,0.4291,-0.8130,-64.6973,-143.0054,-113.8306
13, Max, 0.6183,1.8059,0.7864,39.1235,120.7886,109.6191
13, PSD, 146.8214,1546.6316,600.4664,1983952.0000,13248217.0000,10902207.0000
14, Mean, 0.1199,0.9726,0.0975,-7.4191,3.0408,8.9316
14, Std, 0.1387,0.3027,0.3976,20.7151,64.4674,50.9468
14, RMS, 0.1834,1.0186,0.4094,22.0036,64.5391,51.7238
14, Min, -0.1573,0.5372,-0.5317,-52.6733,-103.5767,-68.6646
14, Max, 0.3490,1.5038,0.7198,22.2778,81.9092,93.0176
14, PSD, 81.0461,1477.4587,292.0808,1052244.5000,9822171.0000,7603465.5000
15, Mean, 0.0903,1.0187,-0.0420,5.9690,3.5887,6.9604
15, Std, 0.1020,0.3653,0.2869,13.9420,52.0664,54.0102
15, RMS, 0.1363,1.0822,0.2899,15.1661,52.1899,54.4569
15, Min, -0.0710,0.4948,-0.5724,-31.1279,-73.4863,-72.8760
15, Max, 0.2817,1.6095,0.3143,37.8418,99.7925,89.1724
15, PSD, 20.4818,1146.5687,259.3304,272765.5000,7127727.0000,5861277.5000
16, Mean, 0.1167,0.9781,-0.0437,9.3050,3.2845,4.2486
16, Std, 0.1308,0.3029,0.2244,18.0357,42.8132,46.3635
16, RMS, 0.1753,1.0239,0.2286,20.2945,42.9390,46.5577
16, Min, -0.1324,0.5315,-0.4233,-21.4233,-63.7207,-66.2842
16, Max, 0.3391,1.5647,0.3477,45.5933,79.2847,71.6553
16, PSD, 17.3485,775.4162,133.9305,887131.5625,4353758.5000,4669310.0000
