sample, feature, aX, aY, aZ, gX, gY, gZ
1, Mean, 0.1409,1.0452,-0.0948,-6.8979,0.7172,19.6209
1, Std, 0.2117,0.5486,0.1058,27.7260,20.1182,73.3988
1, RMS, 0.2543,1.1804,0.1420,28.5712,20.1310,75.9761
1, Min, -0.2740,0.0654,-0.3307,-146.2402,-135.5591,-125.4272
1, Max, 0.4646,1.9172,0.4808,122.1924,114.5020,99.9756
1, PSD, 93.9248,509.7568,10.6289,742472.1250,181124.5156,10202342.0000
2, Mean, 0.1704,1.0049,-0.0351,-6.2170,2.6655,27.1153
2, Std, 0.2147,0.5838,0.0982,21.0817,6.4402,70.8420
2, RMS, 0.2741,1.1622,0.1043,21.9793,6.9700,75.8540
2, Min, -0.2275,0.1332,-0.1637,-35.1563,-13.9771,-117.7979
2, Max, 0.5265,2.1670,0.2631,30.6396,13.9771,109.3750
2, PSD, 76.7626,1192.2113,9.9235,706300.0000,39643.3242,8486048.0000
3, Mean, 0.1603,0.9748,-0.1091,-3.4876,5.8265,22.1739
3, Std, 0.1556,0.4592,0.0479,17.6293,10.0343,56.1192
3, RMS, 0.2234,1.0775,0.1192,17.9710,11.6032,60.3410
3, Min, -0.1547,0.2740,-0.2274,-30.2734,-20.9961,-89.3555
3, Max, 0.4088,1.8752,-0.0065,32.8369,30.1514,88.1958
3, PSD, 66.4010,1184.9552,6.1114,575734.1250,73495.0000,4986823.0000
4, Mean, 0.1476,0.9123,-0.1249,-3.4008,5.4860,23.9568
4, Std, 0.1643,0.4664,0.0492,22.3286,7.0965,67.2359
4, RMS, 0.2209,1.0246,0.1343,22.5861,8.9698,71.3764
4, Min, -0.1609,0.1772,-0.2804,-33.9966,-7.7515,-106.6284
4, Max, 0.3926,1.8430,-0.0059,43.8843,25.2686,99.8535
4, PSD, 104.3412,1835.3617,7.8486,681585.1250,40947.5234,7805615.0000
5, Mean, 0.1508,0.8266,-0.1351,5.9900,2.3761,0.2475
