sample, feature, aX, aY, aZ, gX, gY, gZ
1, Mean, 0.0539,0.9552,-0.1341,-4.3340,-2.5878,2.4114
1, Std, 0.0681,0.0560,0.5122,26.6422,53.0477,12.9060
1, RMS, 0.0868,0.9569,0.5295,26.9924,53.1108,13.1293
1, Min, -0.0850,0.8590,-0.9419,-114.7461,-117.9199,-79.3457
1, Max, 0.2122,1.0551,0.8173,104.4312,100.1587,51.8799
1, PSD, 7.5105,820.0556,453.5597,716590.0000,6727282.0000,226084.4844
2, Mean, 0.0771,0.9521,0.0813,-1.8325,-11.5881,4.0984
2, Std, 0.0888,0.0657,0.5661,22.0877,69.2840,9.9292
2, RMS, 0.1177,0.9544,0.5719,22.1636,70.2464,10.7418
2, Min, -0.1396,0.8058,-1.0214,-33.9355,-101.9287,-12.2070
2, Max, 0.2408,1.0500,0.8485,43.6401,104.1870,23.3154
2, PSD, 22.3921,828.4819,716.4785,1153515.1250,10289438.0000,224133.6406
3, Mean, 0.0849,0.9728,-0.0058,3.3889,17.9701,6.9981
3, Std, 0.0762,0.0691,0.5272,21.8153,74.9620,8.7242
3, RMS, 0.1141,0.9753,0.5272,22.0769,77.0858,11.1841
3, Min, -0.0660,0.8038,-0.9486,-39.5508,-97.0459,-8.3618
3, Max, 0.2477,1.0833,0.8906,45.2271,115.7227,28.3813
3, PSD, 7.7166,811.9322,676.6824,618988.5625,10651404.0000,87861.0703
4, Mean, -0.0193,0.9889,-0.1274,-3.8304,-16.2621,2.8238
4, Std, 0.1766,0.2539,0.4563,14.8522,49.5933,39.0594
4, RMS, 0.1777,1.0210,0.4737,15.3382,52.1915,39.1613
4, Min, -0.3873,0.5283,-1.1711,-28.3203,-101.5625,-54.6265
4, Max, 0.2260,1.4851,0.4954,26.8555,69.7632,73.9746
4, PSD, 82.2130,298.5691,205.4136,249324.5781,4263160.5000,3983656.5000
5, Mean, 0.0680,0.9533,0.0818,-1.3695,-4.0612,3.7599
5, Std, 0.0833,0.0843,0.6019,21.7343,70.2210,12.8776
5, RMS, 0.1075,0.9570,0.6074,21.7774,70.3383,13.4153
5, Min, -0.0955,0.7943,-1.1863,-58.7769,-102.2949,-22.4609
5, Max, 0.2261,1.1235,0.8191,41.6260,106.5674,30.3345
5, PSD, 16.8100,783.2921,840.6021,889630.6875,12034566.0000,284505.7187
6, Mean, 0.0573,0.9752,-0.0226,5.3163,21.5859,6.8169
6, Std, 0.0847,0.0516,0.5739,19.5676,71.9109,14.4271
6, RMS, 0.1023,0.9765,0.5744,20.2769,75.0808,15.9565
6, Min, -0.1542,0.8541,-1.0137,-30.8228,-94.5435,-23.0103
6, Max, 0.1799,1.1079,0.9822,40.9546,107.6050,29.2969
6, PSD, 11.9161,780.6005,744.3934,346777.8437,9821333.0000,257519.0938
7, Mean, 0.0269,0.9868,-0.1218,-1.7576,8.9049,6.2199
7, Std, 0.0511,0.0740,0.5535,17.3315,62.0542,12.7596
7, RMS, 0.0577,0.9896,0.5667,17.4204,62.6899,14.1948
7, Min, -0.0669,0.8300,-1.0051,-41.6870,-86.2427,-20.0806
7, Max, 0.1427,1.1061,0.8364,40.7715,99.6704,34.2407
7, PSD, 3.2766,760.5076,565.1472,247217.7188,7363932.5000,304341.1562
