sample, feature, aX, aY, aZ, gX, gY, gZ
1, Mean, 0.0117,-0.0063,0.9802,0.4940,1.2779,5.2509
1, Std, 0.0129,0.0044,0.0425,18.5676,17.1729,11.4178
1, RMS, 0.0174,0.0077,0.9812,18.5742,17.2204,12.5674
1, Min, 0.0005,-0.0526,0.8860,-157.1655,-141.1743,-101.8066
1, Max, 0.1483,0.0004,1.4435,134.8877,126.8311,70.1904
1, PSD, 0.0932,0.0289,832.1937,1231.4746,2235.6763,32644.1973
2, Mean, 0.0105,-0.0056,0.9917,0.9484,1.4873,5.9109
2, Std, 0.0007,0.0006,0.0006,0.1073,0.0925,0.0926
2, RMS, 0.0105,0.0056,0.9917,0.9545,1.4901,5.9116
2, Min, 0.0087,-0.0071,0.9897,0.6714,1.2817,5.6763
2, Max, 0.0118,-0.0040,0.9930,1.1597,1.7700,6.1646
2, PSD, 0.0946,0.0280,859.0139,726.4389,1896.7521,30567.3301
3, Mean, 0.0104,-0.0055,0.9936,0.9136,1.4896,5.8923
3, Std, 0.0008,0.0007,0.0005,0.1126,0.1072,0.0870
3, RMS, 0.0104,0.0056,0.9936,0.9205,1.4935,5.8929
3, Min, 0.0083,-0.0074,0.9918,0.6714,1.2817,5.6763
3, Max, 0.0121,-0.0038,0.9954,1.2207,1.7700,6.1035
3, PSD, 0.0966,0.0249,862.1609,737.8973,1984.7798,30204.2832
4, Mean, 0.0104,-0.0055,0.9945,1.0257,1.4677,5.9490
4, Std, 0.0014,0.0007,0.0007,0.2348,0.2456,0.1179
4, RMS, 0.0105,0.0055,0.9945,1.0522,1.4881,5.9502
4, Min, 0.0079,-0.0070,0.9932,0.4272,0.9155,5.6763
4, Max, 0.0139,-0.0038,0.9963,1.5259,2.1362,6.2866
4, PSD, 0.0932,0.0258,863.5087,906.0397,2166.1755,31228.7754
5, Mean, 0.0105,-0.0055,0.9940,0.8965,1.4582,5.8904
5, Std, 0.0007,0.0006,0.0006,0.1716,0.1783,0.1209
5, RMS, 0.0105,0.0055,0.9940,0.9127,1.4690,5.8916
5, Min, 0.0088,-0.0071,0.9926,0.3662,0.8545,5.5542
5, Max, 0.0127,-0.0039,0.9955,1.5259,1.9531,6.2256
5, PSD, 0.1009,0.0268,862.8185,753.0358,1816.3452,30247.7441
6, Mean, 0.0102,-0.0055,0.9938,0.8821,1.4610,5.8827
6, Std, 0.0013,0.0010,0.0006,0.2564,0.2874,0.1252
6, RMS, 0.0103,0.0056,0.9938,0.9187,1.4890,5.8841
6, Min, 0.0071,-0.0077,0.9922,0.3662,0.6714,5.5542
6, Max, 0.0129,-0.0034,0.9956,1.4648,2.0752,6.1646
6, PSD, 0.0897,0.0263,862.2780,641.1957,1896.0311,29807.3730
7, Mean, 0.0103,-0.0054,0.9936,0.9065,1.4505,5.8751
7, Std, 0.0012,0.0005,0.0006,0.2124,0.2230,0.1217
7, RMS, 0.0104,0.0054,0.9936,0.9310,1.4676,5.8764
7, Min, 0.0079,-0.0067,0.9916,0.3662,0.9766,5.6152
7, Max, 0.0131,-0.0043,0.9958,1.5259,2.1362,6.1646
7, PSD, 0.0910,0.0242,862.4521,663.6475,1888.9683,30460.3672
8, Mean, 0.0103,-0.0054,0.9935,0.8683,1.4906,5.8784
8, Std, 0.0008,0.0007,0.0006,0.2779,0.3443,0.1441
8, RMS, 0.0103,0.0054,0.9935,0.9117,1.5298,5.8802
8, Min, 0.0081,-0.0068,0.9917,0.1831,0.7324,5.5542
8, Max, 0.0121,-0.0037,0.9952,1.5869,2.1362,6.2256
8, PSD, 0.0914,0.0244,862.1727,764.2634,1826.0676,30143.8887
9, Mean, 0.0103,-0.0054,0.9937,0.9494,1.4701,5.9247
9, Std, 0.0007,0.0006,0.0006,0.2472,0.2696,0.1263
9, RMS, 0.0104,0.0055,0.9937,0.9810,1.4946,5.9260
9, Min, 0.0081,-0.0068,0.9924,0.2441,0.7935,5.6152
9, Max, 0.0118,-0.0039,0.9957,1.5869,2.0752,6.2866
9, PSD, 0.0934,0.0250,862.7511,899.3306,1626.3367,30930.8633
10, Mean, 0.0104,-0.0054,0.9940,0.9141,1.5335,5.9628
10, Std, 0.0008,0.0005,0.0006,0.2157,0.2194,0.1232
10, RMS, 0.0104,0.0055,0.9940,0.9392,1.5491,5.9641
10, Min, 0.0082,-0.0063,0.9929,0.3052,0.9766,5.6152
10, Max, 0.0127,-0.0040,0.9958,1.5259,2.0752,6.2256
10, PSD, 0.0940,0.0251,862.6608,770.8841,1984.6332,31171.0332
11, Mean, 0.0103,-0.0054,0.9943,0.9208,1.5078,5.9123
11, Std, 0.0010,0.0007,0.0006,0.1528,0.1368,0.1104
11, RMS, 0.0103,0.0054,0.9943,0.9334,1.5139,5.9133
11, Min, 0.0079,-0.0072,0.9932,0.4883,1.1597,5.6763
11, Max, 0.0127,-0.0037,0.9958,1.4648,2.0142,6.2866
11, PSD, 0.0917,0.0241,863.3961,766.0792,1956.5122,30664.6035
12, Mean, 0.0102,-0.0053,0.9940,0.9418,1.5049,5.9466
12, Std, 0.0009,0.0008,0.0006,0.2644,0.2975,0.1330
12, RMS, 0.0102,0.0054,0.9940,0.9782,1.5340,5.9481
12, Min, 0.0078,-0.0072,0.9928,0.2441,0.6714,5.6152
12, Max, 0.0120,-0.0038,0.9957,1.5869,2.2583,6.2866
12, PSD, 0.0898,0.0244,862.6130,790.8522,1846.0288,30531.4512
13, Mean, 0.0103,-0.0054,0.9940,0.9074,1.4763,5.9114
13, Std, 0.0008,0.0006,0.0006,0.3301,0.3371,0.1586
13, RMS, 0.0103,0.0054,0.9940,0.9656,1.5143,5.9135
13, Min, 0.0084,-0.0066,0.9926,0.1831,0.6104,5.4932
13, Max, 0.0123,-0.0039,0.9955,1.6479,2.0752,6.2256
13, PSD, 0.0932,0.0252,862.7874,716.9568,2162.2500,30628.9219
14, Mean, 0.0103,-0.0053,0.9943,0.9413,1.4763,5.9037
14, Std, 0.0009,0.0008,0.0007,0.1362,0.1477,0.1123
14, RMS, 0.0104,0.0054,0.9943,0.9511,1.4837,5.9048
14, Min, 0.0076,-0.0076,0.9916,0.4883,0.9155,5.5542
14, Max, 0.0122,-0.0034,0.9962,1.4038,1.8921,6.1646
14, PSD, 0.0901,0.0251,863.7662,738.0588,1846.3516,30290.3848
15, Mean, 0.0104,-0.0054,0.9940,0.8702,1.4744,5.9018
15, Std, 0.0010,0.0005,0.0006,0.3055,0.3444,0.1683
15, RMS, 0.0104,0.0054,0.9940,0.9223,1.5141,5.9042
15, Min, 0.0083,-0.0068,0.9927,0.3052,0.7324,5.4932
15, Max, 0.0127,-0.0042,0.9952,1.5259,2.1973,6.2866
15, PSD, 0.0900,0.0260,862.8654,788.7131,1647.9043,29965.4531
16, Mean, 0.0102,-0.0053,0.9942,0.9356,1.5140,5.9304
16, Std, 0.0007,0.0006,0.0007,0.1601,0.1551,0.1076
16, RMS, 0.0103,0.0054,0.9942,0.9491,1.5219,5.9314
16, Min, 0.0085,-0.0071,0.9924,0.3052,1.1597,5.4932
16, Max, 0.0122,-0.0040,0.9955,1.4648,1.8921,6.2256
16, PSD, 0.0940,0.0249,862.9971,740.9772,2102.5586,30403.5332
17, Mean, 0.0103,-0.0052,0.9946,0.9131,1.5345,5.9433
17, Std, 0.0006,0.0005,0.0007,0.2993,0.3188,0.1321
